account_id,account_type,bot_type,is_bot,followers_count,friends_count,statuses_count,listed_count,favourites_count,account_age_days,tweets_per_day,follower_friend_ratio,timing_regularity,burst_score,url_ratio,retweet_ratio,hashtag_density,mention_ratio,linguistic_consistency,engagement_rate,network_clustering,profile_completeness,name_entropy,coordinated_score,has_profile_image,has_geo_enabled,has_url_in_profile,is_verified
ACC00000,genuine,genuine,0,100,180,53509,0,464,3862,13.8553,0.5525,0.2646,0.441,0.0426,0.3012,0.2616,0.249,0.3192,0.2177,0.0916,0.55,3.9423,0.0204,1,0,1,0
ACC00001,genuine,genuine,0,640,525,17159,370,3098,904,18.9812,1.2167,0.1555,0.2731,0.1533,0.3874,0.4492,0.2772,0.2831,0.159,0.4171,0.5,3.0841,0.0064,1,1,0,0
ACC00002,spambot_1,spambot1,1,13,40,1165,0,5,1646,0.7078,0.3171,0.8253,0.6266,0.8783,0.3601,0.7528,0.6996,0.9433,0.1672,0.8638,0.3,3.7575,0.971,1,0,0,0
ACC00003,spambot_3,spambot3,1,286,587,8442,2,1921,1796,4.7004,0.4864,0.295,0.1597,0.6442,0.4916,0.2829,0.5546,0.3719,0.0136,0.8456,0.3,4.1213,0.5821,1,0,0,0
ACC00004,genuine,genuine,0,2694,230,1155,16,970,1444,0.7999,11.6623,0.6032,0.0989,0.0938,0.0183,0.2137,0.4684,0.1608,0.2647,0.1808,0.55,2.3046,0.0325,1,0,1,0
ACC00005,genuine,genuine,0,1532,284,1666,24,1678,3100,0.5374,5.3754,0.194,0.5182,0.5645,0.3877,0.1535,0.2397,0.0289,0.1908,0.2263,0.75,3.228,0.208,1,1,1,0
ACC00006,genuine,genuine,0,786,323,6458,115,2170,1252,5.1581,2.4259,0.359,0.1821,0.1162,0.1768,0.0408,0.6442,0.2993,0.5215,0.3184,0.3,3.5073,0.0873,1,0,0,0
ACC00007,spambot_1,spambot1,1,66,21,11375,3,2,1646,6.9107,3.0,0.5969,0.7141,0.9904,0.81,0.6803,0.3647,0.8536,0.01,0.9394,0.0,4.2321,0.8654,0,0,0,0
ACC00008,spambot_3,spambot3,1,401,369,3512,0,1895,1341,2.6189,1.0838,0.6831,0.4709,0.3404,0.566,0.74,0.2955,0.7704,0.0794,0.4581,0.5,3.474,0.5226,1,1,0,0
ACC00009,genuine,genuine,0,1039,2511,22517,55,428,858,26.2436,0.4136,0.1143,0.4233,0.147,0.2414,0.1731,0.267,0.1639,0.2138,0.3707,0.5,3.0742,0.0986,1,1,0,0
